quizGroup type="WordMapping" promptType="English word" responseType="German word" mainSeparator="|" currentPromptNumber="0" isActive="true"
hard|hart|
defeat|niederlage|
coin|münze|
love|liebst|
home|heimat|
jeweilen|jeweilen|
wah|wah|
occasionally|zuweilen|
epochal|epochal|
expand|erweitere|
enormous|gewaltig|
attitude|haltung|
hundred|hundert|
May|mai|
trust|vertraust|
renew|erneure|
eröffnens|eröffnens|
however|hingegen|
new|neuer|
Sun|sonne|
other|andre|
British|britische|
created|angelegt|
brother|bruder|
service|dienst|
honor|ehre|
led|führ|
king|königs|
Powers|mächten|
offenbach|offenbach|
senses|sinne|
after|danach|
necessary|nötig|
return|rückkehr|
sister|schwester|
pardon|verlaub|
Gesellin|gesellin|
disappoint|enttäuschst|
did|wußte|
keep him|bewahrst|
immediately|unmittelbar|
persecute|verfolgst|
gradually|allmählich|
east|osten|
were|seien|
unschuid|unschuid|
posted|verfasst|
Russia|russland|
always|stets|
international|völker|
Egyptian|ägyptisch|
being|befindens|
observe|beobachtest|
character|charakter|
Curse|fluchs|
rice|reis|
proposed|schlug|
said|sprachen|
asking|verlangst|
zunehme|zunehme|
worked|gearbeitet|
referring|beziehst|
the same|dasselbe|
woman|weibes|
return|zurückkehre|
broke|brach|
some|einiges|
thereupon|daraufhin|
quite|durchaus|
contained|enthalte|
standing|stehend|
completely|vollständig|
external|äußere|
behandein|behandein|
perfecting|vollende|
ave|aben|
introductory|einführe|
occasionally|gelegentlich|
skill|geschicks|
impossible|unmöglich|
verfügst|verfügst|
female|weiblichem|
stuff|zeug|
future|zukunft|
consideration|betracht|
wes|wes|
pieces|stücke|
known|bekanntes|
peacefully|friedlich|
suitable|geeignet|
deep|tiefem|
in turn|wiederum|
whereupon|worauf|
accompany|begleitest|
presence|gegenwart|
furthermore|weiterhin|
from which|wovon|
unit|einheit|
equivalent to|entspreche|
facilitated|erleichtere|
exist|existiere|
tinted|getönt|
wait|warten|
seems|scheine|
custom|brauches|
to surprise|überraschst|
that|jenes|
studia|studia|
given|angegeben|
teach|lehren|
light|licht|
nation|nation|
forehead|stirn|
meet|tagen|
worth|wert|
liberate|befreist|
decision|entscheids|
been standing|eingestehe|
applies|gelte|
meanwhile|inzwischen|
shares|teilt|
Berlin|berlin|
done|getan|
Athens|athen|
other|anderes|
April|april|
firing|feue|
culture|kultur|
death|tode|
independent|unabhängig|
alliierst|alliierst|
may not carry|durfen|
were|fanden|
gewait|gewait|
unexpectedly|unerwartet|
state|zustand|
usual|üblich|
friendship|freundschaft|
right|rechtem|
our|unsre|
your|deine|
collected|erhobene|
particularly|sonderlich|
answer|antwort|
youth|jugendliche|
kehrst|kehrst|
sea|meer|
months|monaten|
wear|trägst|
bye|verabschiede|
full|volle|
economic|wirtschaftliche|
draw|ziehst|
Horses|pferde|
belong|angehöre|
mention|erwähnst|
REIGN|herrschst|
air|luft|
immediately|sofort|
cities|städten|
whereby|wodurch|
armed|bewaffne|
amount|menge|
call|nennst|
venture|wagen|
in addition|zudem|
zweifei|zweifei|
heart|herz|
lake|see|
connection|verbindung|
conspired|verschwor|
Mantei|mantei|
stocks|bestände|
more|desto|
gone|gegangen|
secrets|geheimnisse|
rise|aufgehen|
recorded|aufnahm|
franck|franck|
mainly|hauptsächlich|
off|off|
increased|stieg|
third|dritte|
substantially|erheblich|
Remember|erinner|
gefall|gefall|
critical|kritisch|
reader|leser|
thomas|thomas|
drift|treibeis|
compatible|vereinbare|
routes|wege|
scholar|gelehrte|
wind|wind|
financially|finanziell|
steinein|steinein|
library|bibliothek|
court|gericht|
secretly|heimlich|
coming|kommende|
fail|scheitern|
idea|idee|
half|hälfte|
fight|kämpfst|
at least|mindesten|
problems|probleme|
dream|träum|
verger|verger|
silence|stille|
limiting|begrenze|
is|erfolgt|
georg|georg|
gleichens|gleichens|
pending|hängig|
draw|ziehe|
distant|fernem|
travel|reisen|
admitted|gestand|
small|klein|
weak|schwach|
situation|situation|
ie|sprich|
strictly|streng|
order|auftrag|
learned|gelernt|
child|kind|
attention|aufmerksamkeit|
grappling|auseinandersetze|
welcomes|begrüßt|
report|bericht|
had|besaß|
overview|blicks|
enter|eingehen|
fifth|fünftem|
, happiness|glückes|
called|nannte|
quiet|ruhig|
your|eure|
guest|gast|
colleague|kollege|
available|vorhanden|
before|bevor|
pay|bezahlst|
impression|eindruck|
influences|flüsse|
just|knapp|
owe|verdanke|
Wafers|waffeln|
wish|wünsche|
contributed|beitrug|
English|englische|
born|geboren|
empty|leer|
advice|rat|
regulate|regeln|
track|spur|
by amplifying|verstärkst|
Death Eaters|todesser|
part|part|
manage|schaffst|
title|titel|
reputation|ruf|
victory|sieg|
artikei|artikei|
besorgst|besorgst|
however|dagegen|
island|insel|
Italian|italienisch|
recently|jüngst|
Goals|ziele|
outweigh|überwiege|
convince|überzeugst|
clothe|bekleide|
tempei|tempei|
Christian|christliche|
effort|mühe|
remain silent|schweigen|
military|militärische|
gently|sanft|
Albanian|albani|
Utility Model Law|gebrmg|
downfall|untergang|
understand|verstehn|
beloved|geliebt|
policy|politik|
speech|rede|
poor|arm|
defeat|besiegen|
according to|gemäß|
plagued|geplagt|
trading|trading|
users|verwendern|
wound|wunde|
visits|besucht|
decided|entschied|
fell|geriet|
grow|wachse|
clear|deutlichem|
noble|edle|
will reach|gelangst|
networks|verbünde|
contract|vertrag|
mate|kamerad|
Arts|künste|
limited|beschränke|
enforcing|durchsetze|
February|februar|
only|lediglich|
notice|merkst|
above|oberhalb|
all|all|
legs|beine|
parents|eltern|
legislation|gesetze|
musty|moderig|
Austria|österreich|
bloody|blutig|
use|einsatz|
satisfies|erfülle|
extends|erstrecke|
would continue|fortsetze|
opponent|gegner|
transmission|getriebe|
forced|gezwungen|
allegedly|angeblich|
affected|betroffen|
grateful|dankbar|
darstellst|darstellst|
threaten|drohst|
einsetze|einsetze|
out|heraus|
March|märz|
rail|schiene|
Seal|siegels|
them|them|
behaves|verhalt|
negligible|vernachlässige|
versammein|versammein|
wilhelm|wilhelm|
percent|prozent|
feel|spürst|
judgment|urteil|
worship|verehrst|
determination|bestimmung|
hidden|verborgen|
gold|gold|
God|gott|
behait|behait|
cost|koste|
shame|schade|
changes|wechselt|
attributable|entfalle|
passion|leidenschaft|
number|anzahl|
have brought them abundant|erregst|
heiner|heiner|
cordially|herzlich|
future|künftig|
lock|lock|
sons|söhne|
painted|gemalt|
scorch|versenge|
encounter|begegnest|
exhausted|erschöpfe|
gave|gaben|
usually|gewöhnlich|
mark|kennzeichen|
nose|nase|
nähers|nähers|
fall in|verliebst|
vandalize|beschädige|
community|gemeinschaft|
indians|indern|
the loved|liebem|
north|nördlich|
otto|otto|
teaching|unterrichtens|
Record at|verzeichne|
initially|anfangs|
befinde|befinde|
bring|bringst|
deshaib|deshaib|
pressure|druck|
existence|existenz|
interest|interesse|
self-defense|notwehr|
openers|öffnern|
from deportation|abschiebe|
remained|geblieben|
out|gelegt|
December|dezember|
hope|hoff|
kingdom|königreich|
successor|nachfolger|
talking about|redest|
seemingly|scheinbar|
high|hoher|
road|straße|
artists|künstlern|
founders|begründern|
gewähit|gewähit|
hope|hoffnung|
shorter|kürzer|
distress|not|
were loaded|verlud|
Western|westlichem|
Ziemer|ziemer|
twelve|zwölf|
prefer|bevorzuge|
wooden pews|gestühl|
wrapped|schlang|
float|schweben|
more|öfter|
plug in|anschließe|
neighbors|nachbarn|
survive|überlebst|
translated|übersetzt|
instead of|anstatt|
can|darf|
dortig|dortig|
perceived|empfunden|
explain|erkläre|
lack|fehlen|
fined|geschönt|
intensive|intensiv|
jud|jud|
quietest|leis|
moment|moment|
almost|nahezu|
participate|teilnehme|
deceased|verstorben|
forest|wald|
conceive|auffasse|
redundant|entlasse|
spoken|gesprochen|
body|körper|
distinguish|unterscheide|
ausnahm|ausnahm|
children|kindern|
better|bessere|
contrast|gegensatz|
out|hervor|
alive|lebendig|
all|sämtlich|
origins|ursprünge|
has|wirkt|
coincidences|zufälle|
judge|beurteile|
settled|eingelebt|
foot|fuß|
valuable|wertvoll|
cites|beruft|
width|breite|
bun|bun|
socially|gesellschaftlich|
catastrophic|katastrophal|
regularly|regelmäßig|
so far|soweit|
partially|teilweise|
do|tut|
below|unterhalb|
pleasant|angenehm|
watch|beobachte|
bertha|bertha|
johann|johann|
source|quelle|
sixth|sechste|
drive|trieb|
wisdom|weisheit|
vest|weste|
thanks to|dank|
god|götter|
general|allgemein|
imminent|bevorstehe|
alliance|bündnis|
skin|haut|
bar|leiste|
michael|michael|
tritia|tritia|
constraint|zwang|
take into account|berücksichtige|
has|besitzt|
learn|erfahrt|
felde|felde|
helf|helf|
centuries|jahrhunderte|
low|niedrig|
Ries|rieses|
shadow|schatten|
system|system|
were|trugen|
full of|voller|
trains|züge|
strange|merkwürdig|
was|saß|
student|student|
stiffened|gesteift|
lack|mangel|
quickly|rasch|
sleep|schlafe|
daily|täglich|
ISBN|ISBN|
auftrete|auftrete|
außerhaib|außerhaib|
bisherig|bisherig|
Discuss|diskutiere|
erlangst|erlangst|
for the first time|erstmals|
eat|essen|
capable|fähig|
sufficient|genüge|
large|großes|
half|halbem|
practically|praktisch|
lock|schloss|
suppress|unterdrückst|
away|verschwinde|
assumed|angenommen|
befördere|befördere|
organizing|organisiere|
clasp|spange|
hide|versteckst|
eight|acht|
own|eigener|
free|freier|
interrupted|unterbrochen|
wild|wilde|
therefore|darum|
vessel|gefäß|
will|wirst|
africa|africa|
Prove|beweise|
brisk|forsches|
harden|härten|
matter|materie|
responsible words|verantworte|
losses|verluste|
largely|weitgehend|
eleven|elf|
aufmerke|aufmerke|
section|abschnitt|
absolutely|absolut|
befehi|befehi|
blue|blaue|
seriously|ernsthaft|
celebrate|feiern|
green|grüne|
TOTAL|insges|
majority|mehrheit|
plane|plan|
Prince|prince|
rate|satz|
necessarily|unbedingt|
were accepted|unterstelle|
betrayal|verrat|
Caution|vorsicht|
view|ansicht|
builds|baut|
mountains|berge|
existing|bestehende|
among them|darunter|
direct|direkte|
back room|gelass|
counted|gezählt|
dad|paps|
about|ungefähr|
pay|zahle|
eighths|achteln|
asked|bat|
arc|bogen|
books|büchern|
diesmai|diesmai|
diplomacy|diplomatie|
Secret|geheime|
grown|gewachsen|
shown|gezeigt|
Warrior|kriegerin|
place|legen|
list|liste|
lower|tiefer|
published|veröffentliche|
accept|akzeptieren|
official|amtlich|
are fighting|bekämpfst|
used|benutzt|
elevate|erhebst|
appointed|ernannt|
captured|gefangen|
handle|griff|
capital|hauptstadt|
were|lagen|
verwickele|verwickele|
widerst|widerst|
chinese|chinesin|
deutschlandde|deutschlandde|
express|ausdrücke|
the one|derjenige|
seized|ergriff|
building|gebäude|
pool|lache|
was|lief|
did|machten|
manner|manner|
earned|verdient|
publishing house|verlag|
exposed|ausgesetzt|
condition|bedingung|
color|farbe|
may|möge|
nine|neun|
faster|schneller|
thus|somit|
cut into pieces|stückeln|
turned|wandte|
choose|wählst|
sought|angestrebt|
ausdehne|ausdehne|
executed|ausgeführt|
own|besitze|
operation|betrieb|
error|fehler|
enemy|feind|
by force|gewaltsam|
about|herum|
informational|informationell|
teaches|lehrt|
narrow|schmale|
heavy|schwere|
meeting|treff|
father|vaters|
much|vieles|
begonia|begonie|
village|dorf|
continued|fuhr|
good|guter|
most|höchst|
iii|iii|
international|internationalem|
January|januar|
must|muss|
reveal to|offenbarst|
relation|relation|
about|rund|
send|schickst|
cut|schliff|
sit|sitze|
unio|unio|
deepen|vertiefe|
coverest|bedeckst|
admire|bewunderst|
gespieit|gespieit|
learn|lernen|
deep|tief|
all|gesamte|
divine|göttlich|
treasure|schatz|
bound|gebunden|
country|lande|
followed|gefolgt|
cold|kalte|
office|office|
signatories|zeichnern|
beliebe|beliebe|
evil|böse|
area|gegend|
secret|geheimnis|
gemeinst|gemeinst|
won|gewonnen|
named|namens|
collection|sammlung|
State|staates|
multiply|vermehre|
vernon|vernon|
want|wünschst|
deeply touched|überwältige|
face|angesicht|
uprising|aufstand|
close|dicht|
conquest|eroberung|
fields|fields|
free wild|freiwild|
fresh|frisch|
Feller|fäll|
brought|geholt|
generation|generation|
divided|geteilt|
joseph|joseph|
men|männern|
cream|rahm|
riding|reitend|
seat|sitz|
late|spät|
rise|steigen|
kill|töte|
vorteii|vorteii|
voldemords|voldemords|
some|irgendeine|
no|nein|
magnificently|prächtig|
wrong|falsche|
jellies|gelees|
degree|grad|
gyrate|kreiseln|
reports|meldet|
top|obere|
universes|universen|
hes|wachste|
modest|bescheidene|
English|engländer|
star|sterne|
recognition|anerkennung|
behaved|benahm|
profession|beruf|
message|botschaft|
was|ergab|
replaced|ersetzt|
colors|farben|
count|graf|
disease|krankheit|
short|kurzer|
together|miteinander|
plant|pflanze|
south|süden|
Conjecture|vermutens|
grows|wächst|
no|keinerlei|
protective|schütz|
sturst|sturst|
system|systematik|
train|zug|
based|zugrunde|
attraction|attraktion|
siege|belagere|
last|dauern|
either|entweder|
garden|garten|
gels|gele|
anyone|irgendwem|
neigst|neigst|
reducing|reduziere|
mourn|traure|
for conveys|vermittele|
reconstructive|wiederherstelle|
against|wider|
except|ausgenommen|
bourgeois|bürgerlich|
erforderst|erforderst|
basis|grundlage|
action|handlung|
wise|klug|
kris|kris|
conductor|leiters|
down|nieder|
Parties|parteien|
pete|pete|
Prussian|preuße|
regulus|regulus|
create|schaffen|
terrible|schrecklich|
secure|sichern|
ensures|sichert|
come|stammen|
Increase|steigere|
support|unterstütze|
in vain|vergeblich|
lose|verlierst|
displaced|versetzt|
in which|wobei|
two|zweien|
exercise|übung|
inscription|inschrift|
issued|erließ|
expected|erwarte|
cover|gedeck|
poem|gedicht|
beaten|geschlagen|
won|gewann|
male|male|
ripe|reif|
age|zeitalter|
transition|übergang|
reliant|angewiesen|
owner|besitzer|
events|ereignisse|
low|gering|
follow|nachfolgen|
promised|versprochen|
each other|einander|
Great Britain|großbritannien|
hal|hal|
Royal|königliche|
students|schülern|
careful|sorgfältig|
palm|palme|
possession|besitz|
manageable|bewältige|
down|herunter|
some|irgend|
control|kontrolle|
artificially|künstlich|
active|rege|
joined|stiess|
strains|stämme|
did|taten|
might destroy|verstöre|
refuse|verweigere|
model|vorbild|
Austrian|österreichische|
anton|anton|
ausführe|ausführe|
influence|einfluss|
origin|herkunft|
in any case|jedenfalls|
landscape|landschaft|
solves|löst|
solution|lösung|
several times|mehrmals|
usually|meist|
depressed|niedergeschlagen|
necessary|notwendiges|
save|rette|
distribution|vertrieb|
wool|wolle|
answer|beantworte|
influence|einfluß|
formulate|formuliere|
emperor|kaisers|
previous|vorig|
form|formen|
hut|hütte|
kings|könige|
poland|polens|
Belgium|belgien|
blood|blut|
expectation|erwartung|
knowledge|kenntnis|
like|mag|
newer|neuere|
Olympic|olympisch|
pain|schmerz|
specifically|speziell|
additives|zusätze|
moving closer|annähere|
look at|ansehe|
escape|entkomme|
fallon|fallon|
feel|fühle|
Catholic|katholik|
circle|kreis|
crown|krone|
bored|langweile|
negation|negation|
traditionally|traditionell|
responsibility|verantwortung|
magnify|vergrößere|
renounce|verzichte|
for the time being|vorerst|
operations|vorgänge|
refuse|weigere|
pictures|bildern|
time|dauer|
end|enden|
England|england|
knowledge|erkenntnis|
yellow|gelb|
courage|mut|
react|reagierst|
as long|solang|
was|verlief|
verschonst|verschonst|
provided|versehen|
need|brauche|
robbed|geraubt|
boy|knabe|
Lithuania|litauen|
trained|schulte|
technically|technisch|
infinitely|unendlich|
waiting|wartest|
superior|überlegende|
accessed|abgerufen|
Serbia|serbien|
claim|anspruch|
emerge|auftauchen|
exclusive|ausschließe|
appointed|berufen|
wider|breiter|
invasions|einfälle|
