quizGroup type="WordMapping" promptType="German word" responseType="English word" mainSeparator="|" currentPromptNumber="0" isActive="true"
erreichst|reach|
sowohl|both|
weis|looking|
palace|palace|
schrimp|Shrimp|
überhand|of hand|
indem|by|
vermutlich|presumably|
orden|order|
weltkrieg|world war|
bereits|already|
grun|green|
gedanke|thought|
aufgab|gave up|
erscheinen|appear|
verbessere|improve|
leid|sorry|
nehm|participating|
fort|on|
seiten|the part|
absichre|absichre|
außer|except|
beinahe|almost|
erkannt|detected|
entdeckst|discover|
schrie|cried|
wissenschaft|science|
frankreich|France|
mehrer|several|
suchte|sought|
tun|do|
übrige|other|
legt|sets|
sogenannt|so-called|
genommen|taken|
halten|hold|
kurze|short|
statt|instead of|
öffentliche|public|
dichtend|sealing|
hilf|help|
folgst|follow|
mitglied|member|
vergangen|last|
freund|friend|
bestehle|steal from|
geschehe|done|
selten|rare|
dadurch|thereby|
einfach|just|
entstand|was|
verändern|change|
setze|set|
unterstützt|supports|
ding|thing|
sohn|son|
gemäht|mowed|
plötzlich|suddenly|
angst|fear|
statue|statue|
ägypten|Egypt|
gesetzt|set|
innere|internal|
trat|was|
august|August|
staat|state|
weitere|more|
mögliches|possible|
dir|you|
bedeutens|signifying|
kämpf|fighting|
polnische|Polish|
bemühst|are striving|
haus|house|
soldaten|soldiers|
schwarze|black|
woche|week|
bereist|traveled|
bevölkere|populate|
glaubs|glaubs|
herr|Mr.|
teils|partly|
personell|staff|
beschreibe|describe|
bring|bring|
erfüllst|fulfill|
vill|vill|
anders|different|
entwickeit|entwickeit|
gefügt|together|
wort|word|
anderer|other|
lage|location|
bildung|education|
länger|more|
nämlich|namely|
geschrieben|written|
lächein|lächein|
zugleich|at the same time|
meister|master|
handelt|is|
ehemalig|former|
glauben|believe|
werk|work|
bekommen|get|
gelang|succeeded|
grenze|border|
link|link|
jemals|ever|
fordere|call|
frage|question|
her|ago|
hinter|behind|
magisch|magic|
spielt|plays|
wichtigst|of most important|
zerstörst|destroy|
einst|once|
hin|down|
mutter|mother|
deutscher|German|
besten|best|
kinde|kinde|
fünf|five|
person|person|
dunkle|dark|
unterschiebe|by sliding|
sinn|sense|
jahrhundert|century|
seele|soul|
freunde|friends|
schönst|fairest|
jahrhunderten|centuries|
weiße|White|
wesentlich|considerably|
römische|Roman|
entferne|remove|
wedels|Wedel|
erde|Earth|
erfolgreich|successfully|
lag|was|
nächste|next|
zuerst|first|
dich|you|
heißt|is|
tiere|animals|
worte|words|
volk|people|
kaiser|Kaiser|
weiß|white|
bezeichnens|designating|
bish|bish|
länder|country|
schwer|difficult|
fremde|foreign|
gleich|equal|
männlich|male|
endlich|finally|
kapitel|chapter|
menschlich|human|
million|million|
untersuche|investigate|
wiederhole|repeat|
bedeutung|significance|
erfolg|success|
gleiche|same|
raum|space|
beginn|beginning|
geschaft|geschaft|
glück|happiness|
denke|think|
fest|fixed|
gebracht|brought|
gefahr|risk|
langen|long|
merke|notice|
figur|figure|
himmei|himmei|
männen|says about men|
hause|home|
häufig|often|
krieges|War|
kräfte|staff|
ändere|change|
jul|jul|
freu|looking forward|
meint|said|
augenblick|moment|
hast|have|
antworte|answer|
gedacht|thought|
paar|pair|
stück|piece|
verteidigst|defend|
kraft|by virtue of|
langsam|slowly|
zweite|second|
bildes|image|
gegenüber|to|
gekommen|come|
kamen|were|
standby|standby|
stolz|proud|
wahrscheinlich|probably|
bild|picture|
erlaubst|permit|
bleibet|abide|
reiche|rich|
schöne|nice|
allerdings|though|
beispiei|beispiei|
unbekannt|unknown|
starb|died|
rolle|role|
wer|who|
lang|long|
beschrieb|described|
ruh|rest|
tocher|tocher|
beschäftige|busy|
längst|long ago|
vielmehr|rather|
geschlossen|closed|
näher|closer|
verwandele|verwandele|
voll|fully|
erhieit|erhieit|
hoh|hoh|
zunächst|first|
beherrsche|dominant|
schwerem|heavy|
verbreitern|widen|
verhält|behaves|
spitze|great|
ausdruck|expression|
bloß|just|
bearbeite|Edit|
außerdem|also|
entwicklung|development|
vereinige|unite|
wüst|waste|
zeichnung|drawing|
heilige|saint|
innerhaib|innerhaib|
meinung|opinion|
empfahl|recommended|
glaub|think|
späterem|later|
bekam|was|
ermögliche|enables|
landes|country|
bewegst|move|
kannt|known|
warum|why|
gesagt|said|
mensch|man|
mussen|must|
held|hero|
städte|urban|
teilen|share|
verlas|leave|
gezogen|drawn|
opfe|heads|
versichere|assure|
bestand|stock|
hoc|hoc|
wahrheit|truth|
alexander|Alexander|
bedrohst|threaten|
bleiben|remain|
herrschaft|rule|
schneii|schneii|
dauert|takes|
lebens|life|
angriff|attack|
ehe|before|
letzt|last|
frei|free|
monat|month|
tausend|thousand|
verurteile|sentencing|
wille|will|
ziel|target|
fragst|ask|
betrachtens|viewing|
demselben|the same|
erobern|conquer|
frieden|peace|
kleidung|clothing|
nacht|night|
neu|new|
heutige|Today|
hält|holds|
stimmte|agreed|
gestalt|form|
gepräge|character|
gründe|Reasons|
rief|called|
euch|you|
jugend|youth|
oben|above|
ländern|countries|
nimmt|will|
arbeitest|working|
bedeute|mean|
bitte|Please|
entstehe|arises|
ernst|seriously|
italiae|italiae|
lehrer|teacher|
leichte|slight|
sollen|to|
spreche|speak|
vertragt|bear with|
wass|wass|
mitteile|notifying|
republic|republic|
ursache|cause|
erwartens|expectation|
falle|trap|
besetzt|occupied|
frauen|women|
unserem|our|
europäisch|European|
werken|plants|
händel|Handel|
wahr|true|
mittel|medium|
weite|length|
weile|while|
betrachtung|contemplation|
darien|darien|
gehöft|farmstead|
möcht|should like|
daraus|it|
kennen|know|
leister|providers|
unterricht|lessons|
fing|started|
lieg|lie|
ordnung|order|
reichens|handoff|
wenigst|wenigst|
bilder|pictures|
fol|following|
trupp|squad|
diejenige|the one|
linie|line|
nachricht|message|
schön|nice|
weisen|show|
gesucht|search|
historisch|historically|
höher|higher|
zahlreich|numerous|
siebe|screens|
besteh|besteh|
büchel|libretto|
gespräch|conversation|
größe|size|
hieß|was|
oberste|top|
spiele|games|
hände|hands|
laut|according to|
offizielle|official|
siehe|see|
denselben|the same|
freundet|befriends|
haare|hair|
gern|gladly|
weiteren|more|
bestätige|confirm|
gewinnen|win|
richtern|inverters|
trug|was|
sicher|sure|
verlies|dungeon|
berichtes|Report|
geschähe|geschähe|
leicht|slightly|
beenden|end|
fähigkeit|ability|
führend|leading|
geld|money|
gelegenheit|opportunity|
nahe|near|
ungewöhnlich|unusual|
verhindere|prevent|
behörde|authority|
lesen|read|
befand|was|
erfahre|experience|
hee|hee|
ständig|constantly|
laufe|run|
begeistere|enthusiastic|
berührst|touch|
fiel|was|
gewichen|given way|
nenne|call|
platz|place|
schicksai|schicksai|
stil|style|
ergänzer|complementizer|
fällst|fall|
sec|sec|
trage|wear|
verletzt|injured|
viertem|fourth|
jedes|each|
keineswegs|by no means|
verwundern|surprising|
griechenland|Greece|
bode|bode|
echt|real|
erzähi|erzähi|
hört|hears|
insbesondere|particularly|
sons|sons|
tages|day|
endest|end up|
entscheide|decide|
rote|red|
bilde|Taking|
kennst|do|
letztens|recently|
punkt|point|
schwiele|callus|
wunsch|request|
herzen|heart|
höre|hear|
verzweifel|desperate|
vorher|before|
vorgestellt|presented|
europa|Europe|
reih|row|
zahl|number|
zustände|conditions|
gestellen|be presented in|
nähe|proximity|
besuch|visit|
dahin|then|
kirche|church|
sichtbar|visible|
traum|dream|
alt|old|
erkenne|recognize|
ewig|forever|
grunde|reason|
sterben|die|
vorbereite|preparatory|
heftig|violently|
steine|stones|
dient|is|
tote|dead|
angesehen|viewed|
beteilige|participate|
geringem|low|
lieber|rather|
sorg|carefully|
endgültig|final|
entgegen|against|
erfuhr|learned|
errichte|constructed|
galt|was|
herrsche|rule|
verwirkliche|realize|
aufgrund|because|
stein|stone|
beste|best|
mitte|center|
dien|serving|
empfinde|feel|
lernst|learn|
russische|Russian|
november|November|
provinz|province|
gegenteii|gegenteii|
golden|golden|
knechtes|Servant|
ortega|ortega|
sache|thing|
verwirre|Mess|
wuchre|wuchre|
september|September|
schliess|closing|
eingesetzt|used|
geschaffen|created|
handele|IN QUESTION|
hinzog|lasted|
neues|new|
schwieriges|difficult|
verbot|ban|
angefügt|added|
ante|ante|
erhob|rose|
morgen|tomorrow|
offene|open|
zehn|ten|
zuletzt|last|
zuvor|before|
überlegst|are thinking about|
bist|are|
brust|breast|
gebrauch|use|
höhe|height|
umstände|circumstances|
verpflichte|undertake|
zufrieden|satisfied|
herrn|mr|
oktober|October|
dein|your|
gleichzeitig|simultaneously|
mittig|center|
richtung|direction|
verbund|composite|
verlier|lose|
wirkung|effect|
überlas|reread|
bedeutendem|significant|
beschloss|decided|
eingefügt|inserted|
erreiche|reach|
gilt|is|
hinault|Hinault|
reicht|enough|
hauself|house-elf|
reden|talk|
füße|feet|
beliebst|ADD TO|
fehlt|missing|
gefährlich|dangerous|
klar|clear|
mädchen|girl|
vertrete|represent|
worten|answer|
eigenschaft|property|
gebilde|educated|
manches|some|
namentlich|by name|
sprach|said|
deinem|your|
dürfe|could|
gegründet|founded|
tatsächlich|actually|
unten|below|
aufgenommen|recorded|
fall|case|
gruppe|group|
zählst|counting|
groß|large|
hart|hard|
niederlage|defeat|
münze|coin|
liebst|love|
heimat|home|
jeweilen|jeweilen|
wah|wah|
zuweilen|occasionally|
epochal|epochal|
erweitere|expand|
gewaltig|enormous|
haltung|attitude|
hundert|hundred|
mai|May|
vertraust|trust|
erneure|renew|
eröffnens|eröffnens|
hingegen|however|
neuer|new|
sonne|Sun|
andre|other|
britische|British|
angelegt|created|
bruder|brother|
dienst|service|
ehre|honor|
führ|led|
königs|king|
mächten|Powers|
offenbach|offenbach|
sinne|senses|
danach|after|
nötig|necessary|
rückkehr|return|
schwester|sister|
verlaub|pardon|
gesellin|Gesellin|
enttäuschst|disappoint|
wußte|did|
bewahrst|keep him|
unmittelbar|immediately|
verfolgst|persecute|
allmählich|gradually|
osten|east|
seien|were|
unschuid|unschuid|
verfasst|posted|
russland|Russia|
stets|always|
völker|international|
ägyptisch|Egyptian|
befindens|being|
beobachtest|observe|
charakter|character|
fluchs|Curse|
reis|rice|
schlug|proposed|
sprachen|said|
verlangst|asking|
zunehme|zunehme|
gearbeitet|worked|
beziehst|referring|
dasselbe|the same|
weibes|woman|
zurückkehre|return|
brach|broke|
einiges|some|
daraufhin|thereupon|
durchaus|quite|
enthalte|contained|
stehend|standing|
vollständig|completely|
äußere|external|
behandein|behandein|
vollende|perfecting|
aben|ave|
einführe|introductory|
gelegentlich|occasionally|
geschicks|skill|
unmöglich|impossible|
verfügst|verfügst|
weiblichem|female|
zeug|stuff|
zukunft|future|
betracht|consideration|
wes|wes|
stücke|pieces|
bekanntes|known|
friedlich|peacefully|
geeignet|suitable|
tiefem|deep|
wiederum|in turn|
worauf|whereupon|
begleitest|accompany|
gegenwart|presence|
weiterhin|furthermore|
wovon|from which|
einheit|unit|
entspreche|equivalent to|
erleichtere|facilitated|
existiere|exist|
getönt|tinted|
warten|wait|
scheine|seems|
brauches|custom|
überraschst|to surprise|
jenes|that|
studia|studia|
angegeben|given|
lehren|teach|
licht|light|
nation|nation|
stirn|forehead|
tagen|meet|
wert|worth|
befreist|liberate|
entscheids|decision|
eingestehe|been standing|
gelte|applies|
inzwischen|meanwhile|
teilt|shares|
berlin|Berlin|
getan|done|
athen|Athens|
anderes|other|
april|April|
feue|firing|
kultur|culture|
tode|death|
unabhängig|independent|
alliierst|alliierst|
durfen|may not carry|
fanden|were|
gewait|gewait|
unerwartet|unexpectedly|
zustand|state|
üblich|usual|
freundschaft|friendship|
rechtem|right|
unsre|our|
deine|your|
erhobene|collected|
sonderlich|particularly|
antwort|answer|
jugendliche|youth|
kehrst|kehrst|
meer|sea|
monaten|months|
trägst|wear|
verabschiede|bye|
volle|full|
wirtschaftliche|economic|
ziehst|draw|
pferde|Horses|
angehöre|belong|
erwähnst|mention|
herrschst|REIGN|
luft|air|
sofort|immediately|
städten|cities|
wodurch|whereby|
bewaffne|armed|
menge|amount|
nennst|call|
wagen|venture|
zudem|in addition|
zweifei|zweifei|
herz|heart|
see|lake|
verbindung|connection|
verschwor|conspired|
mantei|Mantei|
bestände|stocks|
desto|more|
gegangen|gone|
geheimnisse|secrets|
aufgehen|rise|
aufnahm|recorded|
franck|franck|
hauptsächlich|mainly|
off|off|
stieg|increased|
dritte|third|
erheblich|substantially|
erinner|Remember|
gefall|gefall|
kritisch|critical|
leser|reader|
thomas|thomas|
treibeis|drift|
vereinbare|compatible|
wege|routes|
gelehrte|scholar|
wind|wind|
finanziell|financially|
steinein|steinein|
bibliothek|library|
gericht|court|
heimlich|secretly|
kommende|coming|
scheitern|fail|
idee|idea|
hälfte|half|
kämpfst|fight|
mindesten|at least|
probleme|problems|
träum|dream|
verger|verger|
stille|silence|
begrenze|limiting|
erfolgt|is|
georg|georg|
gleichens|gleichens|
hängig|pending|
ziehe|draw|
fernem|distant|
reisen|travel|
gestand|admitted|
klein|small|
schwach|weak|
situation|situation|
sprich|ie|
streng|strictly|
auftrag|order|
gelernt|learned|
kind|child|
aufmerksamkeit|attention|
auseinandersetze|grappling|
begrüßt|welcomes|
bericht|report|
besaß|had|
blicks|overview|
eingehen|enter|
fünftem|fifth|
glückes|, happiness|
nannte|called|
ruhig|quiet|
eure|your|
gast|guest|
kollege|colleague|
vorhanden|available|
bevor|before|
bezahlst|pay|
eindruck|impression|
flüsse|influences|
knapp|just|
verdanke|owe|
waffeln|Wafers|
wünsche|wish|
beitrug|contributed|
englische|English|
geboren|born|
leer|empty|
rat|advice|
regeln|regulate|
spur|track|
verstärkst|by amplifying|
todesser|Death Eaters|
part|part|
schaffst|manage|
titel|title|
ruf|reputation|
sieg|victory|
artikei|artikei|
besorgst|besorgst|
dagegen|however|
insel|island|
italienisch|Italian|
jüngst|recently|
ziele|Goals|
überwiege|outweigh|
überzeugst|convince|
bekleide|clothe|
tempei|tempei|
christliche|Christian|
mühe|effort|
schweigen|remain silent|
militärische|military|
sanft|gently|
albani|Albanian|
gebrmg|Utility Model Law|
untergang|downfall|
verstehn|understand|
geliebt|beloved|
politik|policy|
rede|speech|
arm|poor|
besiegen|defeat|
gemäß|according to|
geplagt|plagued|
trading|trading|
verwendern|users|
wunde|wound|
besucht|visits|
entschied|decided|
geriet|fell|
wachse|grow|
deutlichem|clear|
edle|noble|
gelangst|will reach|
verbünde|networks|
vertrag|contract|
kamerad|mate|
künste|Arts|
beschränke|limited|
durchsetze|enforcing|
februar|February|
lediglich|only|
merkst|notice|
oberhalb|above|
all|all|
beine|legs|
eltern|parents|
gesetze|legislation|
moderig|musty|
österreich|Austria|
blutig|bloody|
einsatz|use|
erfülle|satisfies|
erstrecke|extends|
fortsetze|would continue|
gegner|opponent|
getriebe|transmission|
gezwungen|forced|
angeblich|allegedly|
betroffen|affected|
dankbar|grateful|
darstellst|darstellst|
drohst|threaten|
einsetze|einsetze|
heraus|out|
märz|March|
schiene|rail|
siegels|Seal|
them|them|
verhalt|behaves|
vernachlässige|negligible|
versammein|versammein|
wilhelm|wilhelm|
prozent|percent|
spürst|feel|
urteil|judgment|
verehrst|worship|
bestimmung|determination|
verborgen|hidden|
gold|gold|
gott|God|
behait|behait|
koste|cost|
schade|shame|
wechselt|changes|
entfalle|attributable|
leidenschaft|passion|
anzahl|number|
erregst|have brought them abundant|
heiner|heiner|
herzlich|cordially|
künftig|future|
lock|lock|
söhne|sons|
gemalt|painted|
versenge|scorch|
begegnest|encounter|
erschöpfe|exhausted|
gaben|gave|
gewöhnlich|usually|
kennzeichen|mark|
nase|nose|
nähers|nähers|
verliebst|fall in|
beschädige|vandalize|
gemeinschaft|community|
indern|indians|
liebem|the loved|
nördlich|north|
otto|otto|
unterrichtens|teaching|
verzeichne|Record at|
anfangs|initially|
befinde|befinde|
bringst|bring|
deshaib|deshaib|
druck|pressure|
existenz|existence|
interesse|interest|
notwehr|self-defense|
öffnern|openers|
abschiebe|from deportation|
geblieben|remained|
gelegt|out|
dezember|December|
hoff|hope|
königreich|kingdom|
nachfolger|successor|
redest|talking about|
scheinbar|seemingly|
hoher|high|
straße|road|
künstlern|artists|
begründern|founders|
gewähit|gewähit|
hoffnung|hope|
kürzer|shorter|
not|distress|
verlud|were loaded|
westlichem|Western|
ziemer|Ziemer|
zwölf|twelve|
bevorzuge|prefer|
gestühl|wooden pews|
schlang|wrapped|
schweben|float|
öfter|more|
anschließe|plug in|
nachbarn|neighbors|
überlebst|survive|
übersetzt|translated|
anstatt|instead of|
darf|can|
dortig|dortig|
empfunden|perceived|
erkläre|explain|
fehlen|lack|
geschönt|fined|
intensiv|intensive|
jud|jud|
leis|quietest|
moment|moment|
nahezu|almost|
teilnehme|participate|
verstorben|deceased|
wald|forest|
auffasse|conceive|
entlasse|redundant|
gesprochen|spoken|
körper|body|
unterscheide|distinguish|
ausnahm|ausnahm|
kindern|children|
bessere|better|
gegensatz|contrast|
hervor|out|
lebendig|alive|
sämtlich|all|
ursprünge|origins|
wirkt|has|
zufälle|coincidences|
beurteile|judge|
eingelebt|settled|
fuß|foot|
wertvoll|valuable|
beruft|cites|
breite|width|
bun|bun|
gesellschaftlich|socially|
katastrophal|catastrophic|
regelmäßig|regularly|
soweit|so far|
teilweise|partially|
tut|do|
unterhalb|below|
angenehm|pleasant|
beobachte|watch|
bertha|bertha|
johann|johann|
quelle|source|
sechste|sixth|
trieb|drive|
weisheit|wisdom|
weste|vest|
dank|thanks to|
götter|god|
allgemein|general|
bevorstehe|imminent|
bündnis|alliance|
haut|skin|
leiste|bar|
michael|michael|
tritia|tritia|
zwang|constraint|
berücksichtige|take into account|
besitzt|has|
erfahrt|learn|
felde|felde|
helf|helf|
jahrhunderte|centuries|
niedrig|low|
rieses|Ries|
schatten|shadow|
system|system|
trugen|were|
voller|full of|
züge|trains|
merkwürdig|strange|
saß|was|
student|student|
gesteift|stiffened|
mangel|lack|
rasch|quickly|
schlafe|sleep|
täglich|daily|
ISBN|ISBN|
auftrete|auftrete|
außerhaib|außerhaib|
bisherig|bisherig|
diskutiere|Discuss|
erlangst|erlangst|
erstmals|for the first time|
essen|eat|
fähig|capable|
genüge|sufficient|
großes|large|
halbem|half|
praktisch|practically|
schloss|lock|
unterdrückst|suppress|
verschwinde|away|
angenommen|assumed|
befördere|befördere|
organisiere|organizing|
spange|clasp|
versteckst|hide|
acht|eight|
eigener|own|
freier|free|
unterbrochen|interrupted|
wilde|wild|
darum|therefore|
gefäß|vessel|
wirst|will|
africa|africa|
beweise|Prove|
forsches|brisk|
härten|harden|
materie|matter|
verantworte|responsible words|
verluste|losses|
weitgehend|largely|
elf|eleven|
aufmerke|aufmerke|
abschnitt|section|
absolut|absolutely|
befehi|befehi|
blaue|blue|
ernsthaft|seriously|
feiern|celebrate|
grüne|green|
insges|TOTAL|
mehrheit|majority|
plan|plane|
prince|Prince|
satz|rate|
unbedingt|necessarily|
unterstelle|were accepted|
verrat|betrayal|
vorsicht|Caution|
ansicht|view|
baut|builds|
berge|mountains|
bestehende|existing|
darunter|among them|
direkte|direct|
gelass|back room|
gezählt|counted|
paps|dad|
ungefähr|about|
zahle|pay|
achteln|eighths|
bat|asked|
bogen|arc|
büchern|books|
diesmai|diesmai|
diplomatie|diplomacy|
geheime|Secret|
gewachsen|grown|
gezeigt|shown|
kriegerin|Warrior|
legen|place|
liste|list|
tiefer|lower|
veröffentliche|published|
akzeptieren|accept|
amtlich|official|
bekämpfst|are fighting|
benutzt|used|
erhebst|elevate|
ernannt|appointed|
gefangen|captured|
griff|handle|
hauptstadt|capital|
lagen|were|
verwickele|verwickele|
widerst|widerst|
chinesin|chinese|
deutschlandde|deutschlandde|
ausdrücke|express|
derjenige|the one|
ergriff|seized|
gebäude|building|
lache|pool|
lief|was|
machten|did|
manner|manner|
verdient|earned|
verlag|publishing house|
ausgesetzt|exposed|
bedingung|condition|
farbe|color|
möge|may|
neun|nine|
schneller|faster|
somit|thus|
stückeln|cut into pieces|
wandte|turned|
wählst|choose|
angestrebt|sought|
ausdehne|ausdehne|
ausgeführt|executed|
besitze|own|
betrieb|operation|
fehler|error|
feind|enemy|
gewaltsam|by force|
herum|about|
informationell|informational|
lehrt|teaches|
schmale|narrow|
schwere|heavy|
treff|meeting|
vaters|father|
vieles|much|
begonie|begonia|
dorf|village|
fuhr|continued|
guter|good|
höchst|most|
iii|iii|
internationalem|international|
januar|January|
muss|must|
offenbarst|reveal to|
relation|relation|
rund|about|
schickst|send|
schliff|cut|
sitze|sit|
unio|unio|
vertiefe|deepen|
bedeckst|coverest|
bewunderst|admire|
gespieit|gespieit|
lernen|learn|
tief|deep|
gesamte|all|
göttlich|divine|
schatz|treasure|
gebunden|bound|
lande|country|
gefolgt|followed|
kalte|cold|
office|office|
zeichnern|signatories|
beliebe|beliebe|
böse|evil|
gegend|area|
geheimnis|secret|
gemeinst|gemeinst|
gewonnen|won|
namens|named|
sammlung|collection|
staates|State|
vermehre|multiply|
vernon|vernon|
wünschst|want|
überwältige|deeply touched|
angesicht|face|
aufstand|uprising|
dicht|close|
eroberung|conquest|
fields|fields|
freiwild|free wild|
frisch|fresh|
fäll|Feller|
geholt|brought|
generation|generation|
geteilt|divided|
joseph|joseph|
männern|men|
rahm|cream|
reitend|riding|
sitz|seat|
spät|late|
steigen|rise|
töte|kill|
vorteii|vorteii|
voldemords|voldemords|
irgendeine|some|
nein|no|
prächtig|magnificently|
falsche|wrong|
gelees|jellies|
grad|degree|
kreiseln|gyrate|
meldet|reports|
obere|top|
universen|universes|
wachste|hes|
bescheidene|modest|
engländer|English|
sterne|star|
anerkennung|recognition|
benahm|behaved|
beruf|profession|
botschaft|message|
ergab|was|
ersetzt|replaced|
farben|colors|
graf|count|
krankheit|disease|
kurzer|short|
miteinander|together|
pflanze|plant|
süden|south|
vermutens|Conjecture|
wächst|grows|
keinerlei|no|
schütz|protective|
sturst|sturst|
systematik|system|
zug|train|
zugrunde|based|
attraktion|attraction|
belagere|siege|
dauern|last|
entweder|either|
garten|garden|
gele|gels|
irgendwem|anyone|
neigst|neigst|
reduziere|reducing|
traure|mourn|
vermittele|for conveys|
wiederherstelle|reconstructive|
wider|against|
ausgenommen|except|
bürgerlich|bourgeois|
erforderst|erforderst|
grundlage|basis|
handlung|action|
klug|wise|
kris|kris|
leiters|conductor|
nieder|down|
parteien|Parties|
pete|pete|
preuße|Prussian|
regulus|regulus|
schaffen|create|
schrecklich|terrible|
sichern|secure|
sichert|ensures|
stammen|come|
steigere|Increase|
unterstütze|support|
vergeblich|in vain|
verlierst|lose|
versetzt|displaced|
wobei|in which|
zweien|two|
übung|exercise|
inschrift|inscription|
erließ|issued|
erwarte|expected|
gedeck|cover|
gedicht|poem|
geschlagen|beaten|
gewann|won|
male|male|
reif|ripe|
zeitalter|age|
übergang|transition|
angewiesen|reliant|
besitzer|owner|
ereignisse|events|
gering|low|
nachfolgen|follow|
versprochen|promised|
einander|each other|
großbritannien|Great Britain|
hal|hal|
königliche|Royal|
schülern|students|
sorgfältig|careful|
palme|palm|
besitz|possession|
bewältige|manageable|
herunter|down|
irgend|some|
kontrolle|control|
künstlich|artificially|
rege|active|
stiess|joined|
stämme|strains|
taten|did|
verstöre|might destroy|
verweigere|refuse|
vorbild|model|
österreichische|Austrian|
anton|anton|
ausführe|ausführe|
einfluss|influence|
herkunft|origin|
jedenfalls|in any case|
landschaft|landscape|
löst|solves|
lösung|solution|
mehrmals|several times|
meist|usually|
niedergeschlagen|depressed|
notwendiges|necessary|
rette|save|
vertrieb|distribution|
wolle|wool|
beantworte|answer|
einfluß|influence|
formuliere|formulate|
kaisers|emperor|
vorig|previous|
formen|form|
hütte|hut|
könige|kings|
polens|poland|
belgien|Belgium|
blut|blood|
erwartung|expectation|
kenntnis|knowledge|
mag|like|
neuere|newer|
olympisch|Olympic|
schmerz|pain|
speziell|specifically|
zusätze|additives|
annähere|moving closer|
ansehe|look at|
entkomme|escape|
fallon|fallon|
fühle|feel|
katholik|Catholic|
kreis|circle|
krone|crown|
langweile|bored|
negation|negation|
traditionell|traditionally|
verantwortung|responsibility|
vergrößere|magnify|
verzichte|renounce|
vorerst|for the time being|
vorgänge|operations|
weigere|refuse|
bildern|pictures|
dauer|time|
enden|end|
england|England|
erkenntnis|knowledge|
gelb|yellow|
mut|courage|
reagierst|react|
solang|as long|
verlief|was|
verschonst|verschonst|
versehen|provided|
brauche|need|
geraubt|robbed|
knabe|boy|
litauen|Lithuania|
schulte|trained|
technisch|technically|
unendlich|infinitely|
wartest|waiting|
überlegende|superior|
abgerufen|accessed|
serbien|Serbia|
anspruch|claim|
auftauchen|emerge|
ausschließe|exclusive|
berufen|appointed|
breiter|wider|
einfälle|invasions|
