quizGroup type="WordMapping" promptType="English word" responseType="German word" currentPromptNumber="0"
perhaps|vielleicht
closed|gesperrt/geschlossen
closer|näher
fully|voll
dominant|beherrsche/dominierend
heavy|schwere/schwerem
widen|verbreitern
behaves|verhalt/verhält
great|spitze/toll/klasse/großartig
expression|ausdruck/miene
Edit|bearbeite
also|außerdem/gleichfalls
development|lung/entwicklung
unite|vereinige
waste|wüst/abfälle/verschwendung/abfall
drawing|zeichnung
saint|heilige
opinion|meinung/stellungnahme
recommended|empfahl/empfohlen
later|nachher/späterem
enables|ermögliche
move|verschieben/bewegst
known|bekannter/kund/gewußt/kannt/bekanntlich/gekannt/bekanntes
why|warum/wozu
man|mensch
must|müßt/mussen/muss
hero|held
urban|städte/städtisch
leave|abzureisen/verlas/abzug/abzugeben/abgehen
drawn|gezogen/hineingezogen
heads|opfe
assure|versichere
stock|bestand
truth|wahrheit
threaten|bedrohst/drohst
remain|bleiben
rule|herrsche/herrschaft
takes|dauert
life|lebens
attack|anzugreifen/angriff/attackieren/überfall
before|davor/ehe/zuvor/bevor/vorher
free|umsonst/kostenlos/frei/freier
month|monat
thousand|tausend
sentencing|verurteile
will|nimmt/wirst/wille
target|ziel
viewing|betrachtens
conquer|bezwinge/erobern/erobere
peace|frieden/friede
clothing|kleidung
night|nacht
new|neu/neuem/neues/neuer
Today|heutige
holds|hält
form|gestalt/förmig/formen
character|charakter/gepräge
Reasons|gründe
called|nannte/anrief/rief/angerufen/aufgerufen/gerufen
youth|jugendliche/jugend
countries|ländern
working|arbeitende/arbeitest
mean|bedeute/niederträchtig
Please|bitte
arises|entstehe
seriously|ernst/ernsthaft
teacher|lehrers/lehrer/lehrerin
slight|leichte
speak|spreche
bear with|vertragt
notifying|mitteile
cause|ursache
expectation|erwartung/erwartens
trap|falle
occupied|besetzt/belegt/innegehabt
women|frauen
our|unserm/unsre/unserem/unseres
European|europäer/europäisch
Handel|händel
true|treu/wahr/wahrhaftig/getreu
medium|mittel
length|länge/weite
while|weile/wahrend
contemplation|betrachtung
farmstead|gehöft
should like|möcht
providers|leister/bietern
lessons|unterricht
started|fing/angefangen
lie|lieg
handoff|reichens
pictures|bilder/bildern
following|fol
squad|trupp
the one|derjenige/diejenige
line|zeile/linie/leitung
message|meldung/botschaft/nachricht
show|aufzuzeigen/schau/zeig/darzustellen/weisen/anzeigen
search|gesucht
historically|historisch
higher|höher/höherer
numerous|zahlreich
screens|siebe
libretto|büchel
conversation|gespräch
size|größe
top|oberteil/oberste/obere
games|spiele
hands|hände
according to|gemäß/laut/zufolge
official|offizielle/amtlich
befriends|freundet
hair|haar/haare
gladly|gern
confirm|bestätige
win|gewinnen
inverters|richtern
sure|sicher
dungeon|verlies
Report|berichtes
slightly|leicht
end|schluss/beenden/enden/schluß
ability|fähigkeit
leading|führend/vorlauf
money|geld
opportunity|gelegenheit
near|nahe
unusual|ungewöhnlich/unüblich
prevent|hindern/verhindere
authority|instanz/behörde/befugnis
read|lesen/lies/las
experience|erlebe/erfahre/erlebnis/erfahrungen
constantly|ständig
run|laufe/auszuführen/renne/lauf
enthusiastic|begeistere/schwärme
touch|berührst
given way|gewichen
place|platz/legen
style|stils/stil
complementizer|ergänzer
fall|fällst/abfallen
wear|trägst/trage
injured|verletzt
fourth|viertem/vierte
by no means|keineswegs
surprising|überraschende/verwundern/verwunderlich
Greece|griechenland
real|richtiges/echt
hears|hört
particularly|insbesondere/sonderlich
day|tages
end up|endest
decide|entscheide
red|rot/rote
Taking|bilde
recently|neulich/unlängst/neuestem/jüngst/letztens
point|punkt
callus|schwiele
request|wunsch
heart|herzen/herz
hear|vernehme/höre
desperate|verzweifel
presented|vorgetragen/vorgestellt
Europe|europa
row|reih
number|zahl/nummer/anzahl
conditions|zustände/verhältnisse
be presented in|gestellen
proximity|nähe
visit|aufzusuchen/besuch
then|dahin/alsdann
church|kirche/kirchlich
visible|sichtbar
dream|träumst/traum/träum
old|altes/alt
recognize|erkennst/anzuerkennen/erkenne
forever|ewig
reason|grunde
die|sterben
preparatory|vorbereite
violently|heftig
stones|steine
dead|tot/tote/toter
viewed|eingesehen/angesehen
participate|teilnehme/beteilige
low|gering/niedrig/geringem
carefully|sorg
final|endgültig/finale
against|entgegen/wider
learned|gelehrt/erfuhr/gelernt/gelehrter
constructed|errichte
realize|verwirkliche/realisiere
because|aufgrund
stone|stein
center|mittelpunkt/mittig/mitte/zentrum
serving|dien/dienend
learn|lernen/lernst/lerne/erlernst/erfahrt/erfährst
Russian|russische
province|provinz
Servant|knechtes
Mess|verwirre
closing|schliess/verschließe
used|gegriffen/eingesetzt/herangezogen/benützt/genutzt/benutzt
created|erschaffene/schuf/angelegt/erschuf/geschaffen
IN QUESTION|handele
lasted|hinzog
ban|verbot/bann
added|zugegeben/angefügt/zugefügt
rose|erhob
tomorrow|morgen
open|geöffnet/aufschlagen/aufgeschlossen/öffne/durchbrochen/offene
ten|zehn
are thinking about|überlegst
breast|brust
use|verwendung/benutze/gebrauch/einzusetzen/nutzung/einsatz/nutze/verwende
height|höhe
circumstances|umstände
undertake|verpflichte
satisfied|zufrieden
mr|herrn
October|oktober
your|euer/dein/deinem/deine/eure/deines
simultaneously|gleichzeitig
direction|regie/richtung
composite|zusammengesetzt/verbund
lose|verlierst/verlier
effect|wirkung/effekt
reread|überlas
significant|bedeutungsvoll/bedeutendem/bedeutsam
decided|entschloss/entschied/entschloß/beschloss
inserted|eingefügt
house-elf|hauself
talk|gerede/reden
feet|füße
ADD TO|beliebst
missing|fehlt
dangerous|gefährlich
clear|klar/lichten/deutlichem
girl|mädchen
represent|vertrete
property|besitztum/eigentum/eigenschaft
educated|erzog/gebilde
by name|namentlich
could|dürfe/könntest
founded|gegründet
below|unten/unterhalb
recorded|aufnahm/aufgenommen/erfasst
case|fall
group|gruppe
counting|rechne/zählst
large|groß/großes
hard|hart
defeat|besiegen/niederlage
coin|münze
love|liebst
occasionally|gelegentlich/zuweilen
expand|auszubauen/erweitere
enormous|gewaltig
attitude|haltung
hundred|hundert
May|mai
trust|traue/vertraust
renew|erneure/verlängere
Sun|sonne
British|engländern/britische
brother|bruder
service|gottesdienst/dienst
honor|ehre
led|führ
king|königs
Powers|mächte/mächten
senses|sinne
necessary|nötig/notwendiges
return|zurückzukehren/zurückzugeben/rückgabe/gegenzug/rückkehr/gegenleistung/zurückkehre
sister|schwester
pardon|verlaub/verzeihet
disappoint|enttäuschst/enttäusch
did|wußte/machten/mochte/taten
keep him|bewahrst
immediately|unmittelbar/sogleich/sofort
persecute|verfolgst
gradually|allmählich/stufenweise/stufen/schrittweise
east|östlich/ost/osten
posted|verfasst/entsandt
Russia|russland
always|stets/jeher
international|völker/internationalem
Egyptian|ägyptisch
being|befindens
observe|beobachtest
Curse|fluchs
rice|reis
proposed|schlug
asking|verlangst
worked|gearbeitet/gewirkt
referring|beziehst
woman|weibes
thereupon|daraufhin
quite|durchaus
contained|enthalte/enthielt
standing|stehend
external|äußere/externe
perfecting|vollende
ave|aben
introductory|einführe
skill|geschick/geschicklichkeit/geschicks/fertigkeit
impossible|ausgeschlossen/unmöglich
female|weiblichem
stuff|zeug
future|zukunft/künftig/zukünftig
consideration|rücksicht/betracht
pieces|stücke
peacefully|kampflos/friedlich
suitable|geeignet
deep|tiefem/tief
in turn|ihrerseits/wiederum/seinerseits
whereupon|worauf
accompany|begleite/begleitest
presence|anwesenheit/gegenwart/beisein
furthermore|weiterhin
from which|wovon
unit|einheit
equivalent to|entspreche
facilitated|erleichtere
exist|existiere
tinted|getönt
wait|abzuwarten/warte/warten
seems|scheine
custom|sitte/brauch/brauches
to surprise|überraschst
that|wonach/jenes
teach|beizubringen/beibringe/lehren/belehre
light|leuchte/hell/licht
forehead|stirn
meet|tagen
worth|wert
liberate|befreist
decision|bescheid/beschluß/entscheids
been standing|eingestehe/zugestehe
applies|gelte
meanwhile|inzwischen/mittlerweile/währenddessen/einstweilen
shares|teilt/anteile
Athens|athen
firing|feue
culture|kultur
death|todes/tode
independent|eigenständige/unabhängig
may not carry|durfen
unexpectedly|unerwartet
usual|gewohnt/üblich
friendship|freundschaft
collected|gesammelt/erhobene/eingezogen
sea|meer
months|monaten
bye|verabschiede
full|satt/volle
economic|wirtschaftliche
draw|schöpfen/ziehst/zeichne/ziehe
Horses|pferde
belong|gehoren/angehöre
mention|erwähne/erwähnst
REIGN|herrschst
air|luft
cities|städten
whereby|wodurch
armed|bewaffne
amount|menge
venture|wagnis/wagen
in addition|zudem/daneben
lake|sees/see
connection|anschluß/verbindung
conspired|verschwor
stocks|vorräte/bestände
gone|fortgegangen/gegangen
secrets|geheimnisse
rise|steigen/aufgehen/aufstieg
mainly|vorwiegend/hauptsächlich
increased|stieg/gestiegen/zugenommen/zunahm
third|dritte
substantially|erheblich
Remember|erinner
critical|kritisch
reader|leser
drift|treibeis
compatible|vereinbare
routes|wege
scholar|gelehrte
financially|finanziell
library|bibliothek/bücherei
court|gericht/hof
secretly|heimlich/insgeheim
coming|kommende
fail|scheitern
idea|ahnung/idee
half|halbes/halbem/hälfte/halbe
fight|kämpfst
at least|zumindest/mindesten
problems|probleme/problemlos
silence|stille
limiting|begrenze
pending|anhängig/hängig
distant|fernem
travel|reisen
admitted|eingelassen/gestand
small|klein
weak|schwach
ie|sprich
strictly|streng
child|kind/kindes
attention|aufmerksamkeit
grappling|auseinandersetze
welcomes|begrüßt
report|gutachten/melden/bericht
had|mußten/wies/besaß
overview|überblick/blicks
enter|eingehen/betrete/einzutreten
fifth|fünfte/fünftem
, happiness|glückes
quiet|ruhig
guest|gäste/gast
colleague|kollege
available|verfügbar/vorhanden
pay|bezahlst/zahle/bezahle/zahlst/sold
impression|abdruck/eindruck
influences|einflüsse/flüsse
owe|verdanke/schulde
Wafers|waffeln
wish|wünsche/wünschen
contributed|beitrug/beigetragen
English|englische/engländer/englisch/engl
born|geboren
empty|leer
advice|beratung/rat
regulate|regeln
track|spur
by amplifying|verstärkst
Death Eaters|todesser
manage|schaffst/verwalte/managen
title|titel
reputation|ruf
victory|siege/sieg
island|insel
Italian|italienisch/italiener
Goals|ziele
outweigh|überwiege
convince|überzeugst
clothe|bekleide
Christian|christliche
effort|mühe
remain silent|schweigen
military|militärs/militärische/militär/militärisch
gently|sanft/sacht
Albanian|albanische/albani
Utility Model Law|gebrmg
downfall|untergang
beloved|geliebt
policy|politik
speech|rede
plagued|geplagt
users|verwendern
wound|wunde/gewickelt
visits|besucht
fell|geriet/verfiel
grow|wachse
noble|adelig/edel/adlig/edle
will reach|gelangst
networks|netzen/netze/verbünde
contract|vertrag/vertrages
mate|kamerad
Arts|künste
limited|beschränke
enforcing|durchsetze/erzwinge
February|februar
only|lediglich/einzig
legs|beine
parents|eltern
legislation|gesetze
musty|moderig/muffig
Austria|österreich/Österreichs
bloody|blutig
satisfies|erfülle
extends|erstrecke
would continue|fortsetze
opponent|gegner
transmission|getriebe
forced|erzwungen/genötigt/gezwungen
allegedly|angeblich
affected|betroffen/geziert
grateful|dankbar/dankbares
March|märz
rail|schiene
Seal|siegels
negligible|vernachlässige
percent|prozent/prozentig
judgment|urteil
worship|verehrst/verehre
determination|ermittlung/bestimmung
hidden|verborgen
God|gott
cost|gekostet/koste
shame|beschäme/schande/schade/scham
changes|änderungen/wechselt
attributable|entfalle/zuzuschreiben
passion|leidenschaft
have brought them abundant|erregst
cordially|herzlich
sons|söhne
painted|malten/gemalt/angestrichen/ausgemalt
scorch|versenge
encounter|begegnest
exhausted|erschöpfe
gave|gaben/abgab
usually|meist/gewöhnlich
mark|markiere/kennzeichen
nose|nase
fall in|verliebst
vandalize|beschädige
community|gemeinschaft
indians|indern
the loved|liebem
north|norden/nördlich/nord
teaching|unterrichtens/richtens/lehre
Record at|verzeichne
initially|anfangs/anfänglich
bring|bringst
pressure|druck
existence|dasein/existenz
interest|interesse/interesses
self-defense|notwehr
openers|öffnern
from deportation|abschiebe
remained|verblieb/geblieben
December|dezember
hope|hoffst/hoff/hoffnung
kingdom|königreich
successor|nachfolger
talking about|redest
seemingly|scheinbar
road|straße
artists|künstlern
founders|begründern
shorter|kürzer
distress|not
were loaded|verlud
Western|westlichem
twelve|zwölf
prefer|vorziehe/bevorzuge
wooden pews|gestühl
wrapped|eingewickelt/schlang/gehüllt
float|schweben
plug in|anschließe
neighbors|nachbarn
survive|überlebst
translated|übersetzt
perceived|empfunden/wahrgenommen
lack|fehlen/mangeln/mangel
fined|geschönt
intensive|intensiv
quietest|leis
deceased|verstorben
forest|wald
conceive|konzipiere/auffasse
redundant|entlasse
spoken|gesprochen
body|körpers/leiche/körper
distinguish|unterscheide
children|kindern
better|günstiger/bessere
contrast|gegensatz
alive|lebendig
origins|ursprünge
has|wirkt/besitzt
coincidences|zufälle
judge|beurteile
settled|sesshaft/niedergelassen/eingelebt
foot|fuß
valuable|wertvoll
cites|beruft
width|breite
socially|gesellschaftlich
catastrophic|katastrophal
regularly|regelmäßig
so far|insofern/soweit
partially|teilweise
pleasant|angenehm
watch|schaue/wache/anzuschauen/beobachte/zusehen
source|quelle
sixth|sechste
drive|antrieb/trieb
wisdom|weisheit
vest|weste
thanks to|dank
god|götter
imminent|bevorstehe
alliance|bündnis/allianz
skin|haut
bar|leiste
constraint|zwang
take into account|berücksichtige
Ries|rieses
shadow|schatten
full of|voller
trains|zügen/züge
strange|merkwürdiges/merkwürdig/sonderbar/fremdartig/eigenartiges/eigentümlich/wunderlich
stiffened|gesteift
quickly|rasch
sleep|schlaf/schlafe
daily|täglich
Discuss|diskutiere
for the first time|erstmals
eat|essen
capable|fähig
sufficient|ausreiche/genüge/genügt
practically|praktisch
lock|schloß/schloss
suppress|unterdrückst
away|weggeführt/abgewandt/verschwinde
assumed|angenommen
organizing|organisiere/ausrichte/veranstalte
clasp|spange
hide|versteckst/verbirg
eight|acht
own|eigner/eigenes/besitze/eigener
interrupted|unterbrochen
wild|wilder/wilde
therefore|folglich/deswegen/demnach/darum
vessel|gefäß
Prove|beweise
brisk|forsches
harden|härten
matter|materie
responsible words|verantworte
losses|verluste
largely|größtenteils/weitgehend
eleven|elf
section|schnitt/abschnitt
absolutely|absolut
blue|blaue/blau
celebrate|feiern/feiere
TOTAL|insges
majority|mehrheit/mehrzahl
plane|plan
rate|tarif/satz
necessarily|unbedingt
were accepted|unterstelle
betrayal|verrat
Caution|vorsicht
builds|baut
mountains|berge/gebirg
existing|bestehende
among them|darunter
direct|direkte
back room|gelass
counted|gegolten/gezählt
dad|paps
about|rund/umher/herum/ungefähr
eighths|achteln
asked|fragten/bat
arc|bogen
books|büchern
diplomacy|diplomatie
Secret|geheime
grown|gewachsen
shown|gezeigt/dargestellt
Warrior|kriegerin
list|liste
lower|untern/untere/tiefer/unterem/niedrigerem
published|veröffentliche/bekanntgemacht/herausgegeben
accept|akzeptieren
are fighting|bekämpfst
elevate|erhebst
appointed|ernannt/berufen
captured|gefangen
handle|griff/handhabe
capital|hauptstadt
chinese|chinesin
express|ausspreche/auszudrücken/auszusprechen/ausdrücke
seized|ergriff
building|gebäude/gebäudes
pool|lache
earned|verdient
publishing house|verlag
exposed|ausgesetzt
condition|bedingung
color|farbe
may|möge
nine|neun
faster|schneller
thus|somit
cut into pieces|stückeln
turned|gewandt/wandte
choose|wählst
executed|ausgeführt
operation|betrieb
error|fehler/irrtum
enemy|feindlichem/feind
by force|gewaltsam
informational|informationell
teaches|lehrt
narrow|schmal/schmale
meeting|sitzung/begegnung/treff
much|weitaus/vieles
begonia|begonie
village|dorfes/dorf
continued|anhalt/fortgeführt/fuhr/anhaltende
good|guter/brav/gutes
most|höchst/reichste
January|januar
reveal to|offenbarst
send|senden/schickst
cut|ausgeschnitten/gehauen/schneiden/schliff
sit|sitze
deepen|vertiefe
coverest|bedeckst
admire|bewundere/bewunderst
divine|göttlich
treasure|schatz
bound|gebunden
followed|gefolgt
cold|kalt/kalte/kälte
signatories|zeichnern
evil|böse
area|gegend/fläche/bereich
secret|geheimnis
won|gewonnen/gewann/errang
named|namens
collection|einzug/sammlung
State|staates
multiply|vermehre
deeply touched|überwältige
uprising|aufstand
close|nah/enge/enger/nahen/dicht/engen
conquest|eroberung
free wild|freiwild
fresh|frisch
Feller|fäll
divided|geteilt/eingeteilt/aufgeteilt
men|männern
cream|rahm
riding|reitend/reit
seat|sitz
late|spät
kill|töte/tötest/umbringe
no|keinerlei/nein/keines
magnificently|prächtig/prachtvoll
wrong|verkehrt/irrt/unrecht/falsch/falsche
jellies|gelees
degree|grad
gyrate|kreiseln
reports|meldet
universes|universen
hes|wachste
modest|bescheidene
star|sterne/stern
recognition|anerkennung
behaved|benahm/verhielt
profession|beruf/berufes
replaced|ausgetauscht/ersetzt/abgelöst
colors|farben
count|graf/zählen
disease|krankheit
plant|anlage/pflanze/werks
south|süden/süd/südlich
Conjecture|vermutens
grows|wächst
protective|schütz
system|systems/systematik
train|bahn/trainiere/auszubilden/zug
based|stützt/basieren/zugrunde
attraction|attraktion
siege|belagere
either|entweder
garden|garten
gels|gele
anyone|irgendwem
reducing|reduziere
mourn|traure/trauern/betraure/trauerst
for conveys|vermittele
reconstructive|wiederherstelle
bourgeois|bürgerlich
basis|grundlage
action|aktion/klage/handlung
wise|weises/kluges/klug
conductor|dirigent/leiters
Parties|parteien
Prussian|preuße/preußische
create|schaffen/erstelle/erzeuge
terrible|schrecklich/fürchterlich/furchtbarem/grauenhaft
secure|geborgen/sichern
ensures|sichert
Increase|steigere
support|unterstütze/mauern/stütz
in vain|vergeblich
displaced|versetzt
in which|wobei/worin
two|zweien/zweige
exercise|übung
inscription|inschrift
issued|ausgegeben/ergangen/erließ
expected|gerechnet/erwar/erwarte/ausgegangen
cover|decken/gedeck
poem|gedicht
beaten|geschlagen
ripe|reif
transition|übergang
reliant|angewiesen
owner|besitzer/inhaber/besitzers
events|ereignisse
promised|zugesagt/versprochen/versprach
each other|einander/aufeinander/untereinander
Great Britain|großbritannien
Royal|königliche
students|schülern
careful|sorgfältig
palm|palme
possession|besitz
manageable|bewältige
control|kontrolle/steuern/beherrschung
artificially|künstlich
active|aktive/aktiv/tätig/rege
joined|stiess
strains|stämme
might destroy|verstöre
refuse|verweigere/weigere
model|dell/modell/vorbild
Austrian|österreichische
influence|beeinflussung/einfluß/einfluss
origin|herkunft/ursprung
in any case|jedenfalls
landscape|landschaft
solves|löst
solution|lösung
several times|mehrmals
depressed|niedergeschlagen/gedrückt
save|sparst/sparen/speichern/rette
distribution|vertrieb
wool|wolle
formulate|formuliere
emperor|kaisers
previous|vorig/vorherig
hut|hütte
kings|könige
poland|polens
Belgium|belgien
blood|blutes/blut
knowledge|kenntnisse/erkenntnis/kenntnis
like|mag/gleicht/dergleichen/artig/ähnliches
newer|neuere
Olympic|olympisch
pain|schmerz
specifically|eigens/speziell
additives|zusätze
moving closer|annähere
look at|anschaust/anschaue/ansehe/ansiehst
escape|entgehe/entkomme
Catholic|katholik
circle|zirkel/kreis
crown|krone/kröne
bored|langweile
traditionally|traditionell
responsibility|verantwortung
magnify|vergrößere
renounce|entsagst/verzichte
for the time being|vorerst
operations|operationen/vorgänge
time|dauer/zeitpunkt
yellow|gelb
courage|mut
react|reagierst
as long|solang
provided|sofern/versehen/vorausgesetzt/bereitgestellt/vorgesehen
need|brauche/bedürfnis/müsst/benötige
robbed|geraubt
boy|knabe
Lithuania|litauen
trained|schulte/ausgebildet/geschult
technically|technisch
infinitely|unendlich
waiting|wartest
superior|überlegende
accessed|abgerufen
Serbia|serbien
claim|anspruch
emerge|auftauchen
exclusive|ausschließe/exklusiv/ausschließlichem
wider|breiter
invasions|einfälle
population|einwohner
adult|erwachse/erwachsener
voted|gekürt/gestimmt
sex|geschlecht
generously|großzügig
challenge them|herausfordere
overwrite|überschreibe
school year|schuljahr
hazardous|gefährde
get used|gewöhnst
icon|symbol
handed|übergab
look|aussehe
commencement|beginns/antritt
retained|zurückgehalten/behielt
law|gesetz
manufacturing|herstelle
camp|lager
responsible|verantwortlichem/schuld
back|zurückkam/rückwärtig/rückseite/zurückzuführen/zurückgekehrt
